,No inhibitor,Inhibitor
[Agonist] vs. response -- Variable slope (four parameters) ,,
Best-fit values,,
     Bottom,= 0,= 0
     Hillslope,0.7966,0.8648
     Top,= 100,= 100
     EC50,1.223e-007,8.53e-007
     logEC50,-6.913,-6.069
     Span,= 100,= 100
Std. Error,,
     Hillslope,0.05812,0.0737
     EC50,1.195e-008,9.386e-008
95% CI (profile likelihood),,
     Hillslope,0.6903 to 0.9241,0.7298 to 1.038
     EC50,9.996e-008 to 1.497e-007,6.807e-007 to 1.07e-006
     logEC50,-7 to -6.825,-6.167 to -5.971
Goodness of Fit,,
     Degrees of Freedom,25,27
     R square,0.9785,0.9724
     Absolute Sum of Squares,811.3,1223
     Sy.x,5.696,6.731
Constraints,,
     Bottom,Bottom = 0,Bottom = 0
     Top,Top = 100,Top = 100
     EC50,EC50 > 0,EC50 > 0
,,
Number of points,,
     # of X values,30,33
     # Y values analyzed,27,29
